t,x,y,z
2.90500,-3.022230,-4.846826,14.484448
2.91000,-3.115702,-5.030412,14.367878
2.91500,-3.213748,-5.221351,14.258144
2.92000,-3.316511,-5.419919,14.155577
2.92500,-3.424139,-5.626395,14.060539
2.93000,-3.536789,-5.841053,13.973421
2.93500,-3.654620,-6.064165,13.894647
2.94000,-3.777800,-6.295996,13.824679
2.94500,-3.906498,-6.536804,13.764012
2.95000,-4.040889,-6.786837,13.713184
2.95500,-4.181152,-7.046325,13.672776
2.96000,-4.327467,-7.315485,13.643410
2.96500,-4.480014,-7.594507,13.625758
2.97000,-4.638976,-7.883558,13.620540
2.97500,-4.804532,-8.182769,13.628526
2.98000,-4.976858,-8.492236,13.650540
2.98500,-5.156126,-8.812007,13.687460
2.99000,-5.342499,-9.142078,13.740220
2.99500,-5.536133,-9.482382,13.809809
3.00000,-5.737169,-9.832783,13.897273
3.00500,-5.945734,-10.193064,14.003715
3.01000,-6.161935,-10.562915,14.130287
3.01500,-6.385856,-10.941921,14.278197
3.02000,-6.617555,-11.329552,14.448695
3.02500,-6.857058,-11.725147,14.643074
3.03000,-7.104354,-12.127899,14.862659
3.03500,-7.359387,-12.536841,15.108797
3.04000,-7.622056,-12.950833,15.382846
3.04500,-7.892202,-13.368542,15.686156
3.05000,-8.169606,-13.788433,16.020057
3.05500,-8.453976,-14.208749,16.385833
3.06000,-8.744947,-14.627502,16.784696
3.06500,-9.042066,-15.042461,17.217760
3.07000,-9.344788,-15.451145,17.686007
3.07500,-9.652469,-15.850815,18.190249
3.08000,-9.964353,-16.238480,18.731090
3.08500,-10.279572,-16.610896,19.308883
3.09000,-10.597134,-16.964582,19.923679
3.09500,-10.915922,-17.295842,20.575183
3.10000,-11.234688,-17.600788,21.262707
3.10500,-11.552050,-17.875382,21.985114
3.11000,-11.866495,-18.115485,22.740782
3.11500,-12.176380,-18.316918,23.527556
3.12000,-12.479940,-18.475526,24.342714
3.12500,-12.775294,-18.587269,25.182947
3.13000,-13.060462,-18.648302,26.044342
3.13500,-13.333378,-18.655082,26.922382
3.14000,-13.591915,-18.604464,27.811970
3.14500,-13.833907,-18.493810,28.707465
3.15000,-14.057182,-18.321091,29.602737
3.15500,-14.259589,-18.084986,30.491250
3.16000,-14.439038,-17.784963,31.366160
3.16500,-14.593537,-17.421356,32.220433
